tapachula,sur,este,chiapas,mexico,america
terrace,sur,oeste,britishCol,canada,america
thunderBay,sur,este,ontario,canada,america
tijuana,norte,oeste,bajaCalifornia,mexico,america
timmins,sur,este,ontario,canada,america
toluca,sur,centro,edoMex,mexico,america
toronto,sur,este,ontario,canada,america
torreon,norte,este,coahuila,mexico,america
tuxtlaG,sur,oeste,chiapas,mexico,america
valdOr,sur,este,quebec,canada,america
vancouver,sur,oeste,britishCol,canada,america
veracruz,centro,este,veracruz,mexico,america
victoria,sur,oeste,britishCol,canada,america
villahermosa,sur,este,tabasco,mexico,america
wabush,norte,este,newFoundLand,canada,america
washDC,norte,este,dC,usa,america
westPalmBeach,sur,este,florida,usa,america
whitehorse,norte,oeste,yukon,canada,america
windsor,centro,oeste,california,usa,america
winnipeg,sur,centro,manitoba,canada,america
yellowknife,norte,oeste,nwTerritories,canada,america
zacatecas,norte,este,zacatecas,mexico,america
zihuatanejo,centro,oeste,guerrero,mexico,america
